Frequency (Hz)	Level (dB)
0.672913	-38.848980
1.345825	-55.418674
2.018738	-67.266624
2.691650	-62.608692
3.364563	-63.063339
4.037476	-63.369930
4.710388	-64.421486
5.383301	-66.423599
6.056213	-68.225296
6.729126	-70.518837
7.402039	-72.724945
8.074951	-73.711136
8.747864	-75.692101
9.420776	-77.791862
10.093689	-79.770233
10.766602	-82.765671
11.439514	-84.429344
12.112427	-84.303703
12.785339	-83.607162
13.458252	-82.137154
14.131165	-81.968384
14.804077	-81.168625
15.476990	-80.891075
16.149902	-82.161385
16.822815	-85.402779
17.495728	-89.353233
18.168640	-87.726547
18.841553	-90.267563
19.514465	-88.006737
20.187378	-87.426582
20.860291	-88.152176
21.533203	-89.920853
22.206116	-87.775398
22.879028	-89.165512
23.551941	-90.416176
24.224854	-89.019333
24.897766	-90.912918
25.570679	-90.673233
26.243591	-91.469002
26.916504	-93.297066
27.589417	-90.828331
28.262329	-89.994835
28.935242	-90.509239
29.608154	-94.176262
30.281067	-91.418556
30.953979	-91.738998
31.626892	-87.680023
32.299805	-87.550972
32.972717	-89.117767
33.645630	-88.396950
34.318542	-88.004807
34.991455	-88.279251
35.664368	-86.685524
36.337280	-86.449532
37.010193	-89.075478
37.683105	-91.854973
38.356018	-96.031235
39.028931	-97.895958
39.701843	-95.972198
40.374756	-95.726021
41.047668	-94.572243
41.720581	-93.825546
42.393494	-93.368416
43.066406	-93.783813
43.739319	-95.169563
44.412231	-95.420311
45.085144	-96.331551
45.758057	-98.085670
46.430969	-99.883995
47.103882	-100.819244
47.776794	-98.777161
48.449707	-97.409111
49.122620	-92.619553
49.795532	-90.432106
50.468445	-92.193230
51.141357	-93.803902
51.814270	-94.232414
52.487183	-92.888939
53.160095	-92.484779
53.833008	-93.194366
54.505920	-91.782021
55.178833	-92.769997
55.851746	-92.061165
56.524658	-94.470329
57.197571	-92.468422
57.870483	-90.524788
58.543396	-90.966309
59.216309	-93.411003
59.889221	-100.324577
60.562134	-97.957527
61.235046	-102.841919
61.907959	-102.444122
62.580872	-101.691513
63.253784	-99.647484
63.926697	-98.113480
64.599609	-96.084152
65.272522	-98.954750
65.945435	-94.405663
66.618347	-97.090546
67.291260	-95.447006
67.964172	-97.628151
68.637085	-96.077805
69.309998	-97.525742
69.982910	-99.571999
70.655823	-99.254204
71.328735	-102.650276
72.001648	-99.911247
72.674561	-106.184669
73.347473	-103.588074
74.020386	-113.819656
74.693298	-102.168060
75.366211	-103.947876
76.039124	-106.879250
76.712036	-105.725601
77.384949	-110.105110
78.057861	-108.054466
78.730774	-109.190819
79.403687	-107.813942
80.076599	-106.461555
80.749512	-105.097038
81.422424	-105.917183
82.095337	-103.481667
82.768250	-100.834404
83.441162	-101.971886
84.114075	-99.637474
84.786987	-104.371040
85.459900	-99.007401
86.132813	-103.326515
86.805725	-103.135391
87.478638	-103.916054
88.151550	-102.045563
88.824463	-103.480972
89.497375	-107.696709
90.170288	-107.349754
90.843201	-106.580666
91.516113	-105.016403
92.189026	-104.210991
92.861938	-106.474159
93.534851	-103.337234
94.207764	-105.412483
94.880676	-101.339142
95.553589	-108.954163
96.226501	-99.741478
96.899414	-101.821365
97.572327	-101.845688
98.245239	-103.490608
98.918152	-103.502380
99.591064	-102.681351
100.263977	-107.357498
100.936890	-107.318726
101.609802	-104.930809
102.282715	-101.494019
102.955627	-104.292824
103.628540	-104.728020
104.301453	-101.876404
104.974365	-104.756798
105.647278	-103.847923
106.320190	-104.466797
106.993103	-107.532341
107.666016	-108.549377
108.338928	-106.775047
109.011841	-106.402191
109.684753	-106.254478
110.357666	-103.964493
111.030579	-105.146698
111.703491	-101.655724
112.376404	-101.434402
113.049316	-100.084229
113.722229	-99.824905
114.395142	-98.194817
115.068054	-98.665565
115.740967	-97.314774
116.413879	-97.303215
117.086792	-98.885086
117.759705	-100.254539
118.432617	-103.175980
119.105530	-103.833481
119.778442	-106.252380
120.451355	-108.097572
121.124268	-105.361839
121.797180	-106.295395
122.470093	-102.863342
123.143005	-104.051933
123.815918	-111.685593
124.488831	-105.752037
125.161743	-105.095932
125.834656	-107.050934
126.507568	-102.643646
127.180481	-107.728935
127.853394	-101.544395
128.526306	-100.537178
129.199219	-100.693878
129.872131	-101.703171
130.545044	-105.678078
131.217957	-110.145439
131.890869	-108.719627
132.563782	-114.314606
133.236694	-107.990158
133.909607	-105.013626
134.582520	-107.012711
135.255432	-105.525780
135.928345	-109.205795
136.601257	-107.514282
137.274170	-108.428093
137.947083	-107.113472
138.619995	-104.743073
139.292908	-107.093788
139.965820	-101.612770
140.638733	-106.226524
141.311646	-107.894287
141.984558	-105.776573
142.657471	-105.986839
143.330383	-105.575958
144.003296	-102.989944
144.676208	-102.444664
145.349121	-103.149254
146.022034	-103.101952
146.694946	-106.338135
147.367859	-106.707977
148.040771	-104.252007
148.713684	-103.317795
149.386597	-105.653091
150.059509	-106.818192
150.732422	-105.071648
151.405334	-109.149055
152.078247	-105.979553
152.751160	-103.403366
153.424072	-103.562218
154.096985	-104.156815
154.769897	-106.196220
155.442810	-103.553131
156.115723	-104.844467
156.788635	-105.557076
157.461548	-103.340065
158.134460	-100.907349
158.807373	-104.183548
159.480286	-106.158646
160.153198	-101.799492
160.826111	-100.942413
161.499023	-99.194023
162.171936	-100.333397
162.844849	-109.878159
163.517761	-104.649567
164.190674	-103.940514
164.863586	-105.515457
165.536499	-105.568810
166.209412	-106.876869
166.882324	-102.090813
167.555237	-103.010300
168.228149	-107.879158
168.901062	-101.103745
169.573975	-100.736046
170.246887	-104.763931
170.919800	-106.935120
171.592712	-109.560333
172.265625	-106.983223
172.938538	-106.964127
173.611450	-112.250916
174.284363	-115.205574
174.957275	-115.450150
175.630188	-106.460854
176.303101	-104.010872
176.976013	-104.494797
177.648926	-106.808296
178.321838	-103.935326
178.994751	-108.227913
179.667664	-103.903214
180.340576	-103.650055
181.013489	-104.119286
181.686401	-101.715439
182.359314	-102.558495
183.032227	-110.531433
183.705139	-106.906036
184.378052	-106.872162
185.050964	-104.204918
185.723877	-104.795647
186.396790	-104.060280
187.069702	-101.098671
187.742615	-103.642372
188.415527	-105.189240
189.088440	-105.674141
189.761353	-105.513893
190.434265	-106.129974
191.107178	-103.669548
191.780090	-104.410751
192.453003	-109.571182
193.125916	-107.179291
193.798828	-109.524185
194.471741	-107.055817
195.144653	-106.396736
195.817566	-106.262459
196.490479	-104.984428
197.163391	-107.028046
197.836304	-104.179413
198.509216	-103.208206
199.182129	-102.552216
199.855042	-105.406670
200.527954	-104.141045
201.200867	-112.610252
201.873779	-105.656067
202.546692	-105.693001
203.219604	-105.126038
203.892517	-105.431503
204.565430	-110.284775
205.238342	-106.627892
205.911255	-107.850273
206.584167	-110.170128
207.257080	-106.553932
207.929993	-107.066948
208.602905	-108.457191
209.275818	-105.140053
209.948730	-110.879196
210.621643	-102.896210
211.294556	-107.140839
211.967468	-104.757149
212.640381	-106.621368
213.313293	-111.533318
213.986206	-105.233589
214.659119	-109.538948
215.332031	-103.815002
216.004944	-106.604538
216.677856	-108.993279
217.350769	-101.706169
218.023682	-107.876442
218.696594	-102.441925
219.369507	-101.277275
220.042419	-104.836136
220.715332	-101.661858
221.388245	-105.298325
222.061157	-103.936501
222.734070	-105.179993
223.406982	-108.259453
224.079895	-105.372498
224.752808	-107.109108
225.425720	-107.026360
226.098633	-108.140915
226.771545	-108.153976
227.444458	-105.768517
228.117371	-105.119606
228.790283	-103.637512
229.463196	-108.868095
230.136108	-106.972595
230.809021	-104.161392
231.481934	-108.865356
232.154846	-108.285301
232.827759	-107.030586
233.500671	-106.034279
234.173584	-105.060890
234.846497	-110.428101
235.519409	-106.208221
236.192322	-108.071030
236.865234	-109.228302
237.538147	-109.070915
238.211060	-113.368126
238.883972	-109.879707
239.556885	-106.357262
240.229797	-110.837784
240.902710	-111.613144
241.575623	-121.818100
242.248535	-114.959663
242.921448	-116.575813
243.594360	-112.472702
244.267273	-111.805359
244.940186	-113.270073
245.613098	-110.515907
246.286011	-114.412094
246.958923	-112.136818
247.631836	-111.266708
248.304749	-109.752487
248.977661	-111.931129
249.650574	-112.459732
250.323486	-113.205002
250.996399	-111.227043
251.669312	-110.431358
252.342224	-114.163078
253.015137	-110.351418
253.688049	-108.409340
254.360962	-112.546799
255.033875	-109.273705
255.706787	-109.963470
256.379700	-110.250465
257.052612	-109.494812
257.725525	-114.424988
258.398438	-115.296898
259.071350	-115.960632
259.744263	-110.426704
260.417175	-108.884972
261.090088	-112.026093
261.763000	-112.180038
262.435913	-111.438499
263.108826	-111.427765
263.781738	-111.704605
